personne_raw_text,personne_nom_complet,personne_civilite,personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
Mme Camille DAGORNE,Mme Camille DAGORNE,Mme,Camille,DAGORNE,F,,Directrice de cabinet,Mamoudzou,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Yassine BOUZIANE,M. Yassine BOUZIANE,M.,Yassine,BOUZIANE,M,,Directeur de cabinet,Caen,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Chloé DEMEULENAERE,Mme Chloé DEMEULENAERE,Mme,Chloé,DEMEULENAERE,F,,Directrice de cabinet,Papeete - Tahiti,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Anne-Sophie MARCON,Mme Anne-Sophie MARCON,Mme,Anne-Sophie,MARCON,F,,Directrice de cabinet,Pau,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Ambre BERNARD,Mme Ambre BERNARD,Mme,Ambre,BERNARD,F,,Directrice de cabinet,Montauban,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Emmanuelle PLANTIER-LEMARCHAND,Mme Emmanuelle PLANTIER-LEMARCHAND,Mme,Emmanuelle,PLANTIER-LEMARCHAND,F,,Directrice de cabinet,Annecy,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Marin LASSALLE,M. Marin LASSALLE,M.,Marin,LASSALLE,M,,Directeur de cabinet,Montpellier,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Grégory LECRU,M. Grégory LECRU,M.,Grégory,LECRU,M,,Directeur de cabinet,Bordeaux,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Mariam PONTONI,Mme Mariam PONTONI,Mme,Mariam,PONTONI,F,,Directrice de cabinet,Orléans,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thomas MONTBABUT,M. Thomas MONTBABUT,M.,Thomas,MONTBABUT,M,,Directeur de cabinet,Châlons-en-Champagne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Cécile RACKETTE,Mme Cécile RACKETTE,Mme,Cécile,RACKETTE,F,,Directrice de cabinet,Strasbourg,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie-Charlotte EUVRARD,Mme Marie-Charlotte EUVRARD,Mme,Marie-Charlotte,EUVRARD,F,,Directrice de cabinet,Nîmes,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Salwa PHILIBERT,Mme Salwa PHILIBERT,Mme,Salwa,PHILIBERT,F,,Directrice de cabinet,Mâcon,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Charles-Bernard NOÏN,M. Charles-Bernard NOÏN,M.,Charles-Bernard,NOÏN,M,,Directeur de cabinet,Troyes,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Cécile RACKETTE,Mme Cécile RACKETTE,Mme,Cécile,RACKETTE,F,,Directrice de cabinet,Strasbourg,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Alban BOURGUIGNON D'HERBIGNY,M. Alban BOURGUIGNON D'HERBIGNY,M.,Alban,D'HERBIGNY,M,,Directeur de cabinet,Tulle,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Estelle CHARLES,Mme Estelle CHARLES,Mme,Estelle,CHARLES,F,,Directrice de cabinet,Amiens,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Camille FOURNIER,Mme Camille FOURNIER,Mme,Camille,FOURNIER,F,,Directeur de cabinet,Évreux,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Corinne QUEBRE,Mme Corinne QUEBRE,Mme,Corinne,QUEBRE,F,,Directrice de cabinet,Albi,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François ROSA,M. François ROSA,M.,François,ROSA,M,,Directeur de cabinet,Nanterre,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Christian VEDELAGO,M. Christian VEDELAGO,M.,Christian,VEDELAGO,M,,Directeur de cabinet,Arras,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Hugo LE FLOC'H,M. Hugo LE FLOC'H,M.,Hugo,LE FLOC'H,M,,Directeur de cabinet,Auxerre,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Virginie BROUET-SAUZADE,Mme Virginie BROUET-SAUZADE,Mme,Virginie,BROUET-SAUZADE,F,,Directrice de cabinet,Lons-le-Saunier,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Sophie MIEGEVILLE,Mme Sophie MIEGEVILLE,Mme,Sophie,MIEGEVILLE,F,,Directrice de cabinet,Tarbes,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Alice CHOCHEYRAS,Mme Alice CHOCHEYRAS,Mme,Alice,CHOCHEYRAS,F,,Directrice de cabinet,Bourg-en-Bresse,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Raphaël FARGES,M. Raphaël FARGES,M.,Raphaël,FARGES,M,,Directeur de cabinet,La Rochelle,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Anne MONTEIRO,M. Anne MONTEIRO,M.,Anne,MONTEIRO,M,,Directrice de cabinet,Mende,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Sara JANSSEN,Mme Sara JANSSEN,Mme,Sara,JANSSEN,F,,Directrice de cabinet,Bar-le-Duc,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Myriam ABASSI,Mme Myriam ABASSI,Mme,Myriam,ABASSI,F,,Directrice de cabinet,Bobigny,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Arnaud BOURDA,M. Arnaud BOURDA,M.,Arnaud,BOURDA,M,,Directeur de cabinet,Mont-de-Marsan,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Priscillien PITTET,M. Priscillien PITTET,M.,Priscillien,PITTET,M,,Directeur de cabinet,Epinal,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Rémy DEJOU,M. Rémy DEJOU,M.,Rémy,DEJOU,M,,Directeur de cabinet,Chaumont,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Adrien SPERRY,Mme Adrien SPERRY,Mme,Adrien,SPERRY,F,,Directeur de cabinet,Saint-Étienne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thibault DE CACQUERAY,M. Thibault DE CACQUERAY,M.,Thibault,DE CACQUERAY,M,,Directeur de cabinet,Avignon,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Céline PLATEL,Mme Céline PLATEL,Mme,Céline,PLATEL,F,,Directrice de cabinet,Melun,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Julien AMIEL,M. Julien AMIEL,M.,Julien,AMIEL,M,,Directeur de cabinet,Saint-Brieuc,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Philémon PERROT,M. Philémon PERROT,M.,Philémon,PERROT,M,,Directeur de cabinet,Fort-de-France,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Ronan LE PAGE,M. Ronan LE PAGE,M.,Ronan,LE PAGE,M,,Directeur de cabinet,Vannes,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Fabienne MONMARSON,Mme Fabienne MONMARSON,Mme,Fabienne,MONMARSON,F,,Directrice de cabinet,Digne-les-Bains,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Mariam PONTONI,Mme Mariam PONTONI,Mme,Mariam,PONTONI,F,,Directrice de cabinet,Orléans,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Nicolas HAUPTMANN,M. Nicolas HAUPTMANN,M.,Nicolas,HAUPTMANN,M,,Directeur de cabinet,Marseille,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Aurélie CONTRECIVILE,Mme Aurélie CONTRECIVILE,Mme,Aurélie,CONTRECIVILE,F,,Directrice de cabinet,Dijon,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Cyrille LEFEUVRE,M. Cyrille LEFEUVRE,M.,Cyrille,LEFEUVRE,M,,Directeur de cabinet,Angers,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre-Yves ARGAT,M. Pierre-Yves ARGAT,M.,Pierre-Yves,ARGAT,M,,Directeur de cabinet,Bastia,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie WENCKER,Mme Marie WENCKER,Mme,Marie,WENCKER,F,,Directrice de cabinet,Chambéry,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Amélie TRIOUX,Mme Amélie TRIOUX,Mme,Amélie,TRIOUX,F,,Directrice de cabinet,Carcassonne,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Delphine LEMAIRE,Mme Delphine LEMAIRE,Mme,Delphine,LEMAIRE,F,,Directrice de cabinet,Foix,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Tony CHESNEAU-LLOYD,M. Tony CHESNEAU-LLOYD,M.,Tony,CHESNEAU-LLOYD,M,,Directeur de cabinet,Niort,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thomas DIMICHELE,M. Thomas DIMICHELE,M.,Thomas,DIMICHELE,M,,Directeur de cabinet,Colmar,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Maxime LECONTE,M. Maxime LECONTE,M.,Maxime,LECONTE,M,,Directeur de cabinet,La Roche-sur-Yon,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Emmanuel DUPUIS,M. Emmanuel DUPUIS,M.,Emmanuel,DUPUIS,M,,Directeur de cabinet,Créteil,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Benoît DE LAGARDE,M. Benoît DE LAGARDE,M.,Benoît,DE LAGARDE,M,,Directeur de cabinet,Le Puy-en-Velay,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. François-Xavier RICHARD-RENDOLET,M. François-Xavier RICHARD-RENDOLET,M.,François-Xavier,RICHARD-RENDOLET,M,,Directeur de cabinet,Basse-Terre,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Vincent BERNARD-LAFOUCRIERE,M. Vincent BERNARD-LAFOUCRIERE,M.,Vincent,BERNARD-LAFOUCRIERE,M,,Directeur de cabinet,Saint-Denis,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie ARGOUARC'H,Mme Marie ARGOUARC'H,Mme,Marie,ARGOUARC'H,F,,Directrice de cabinet,Nantes,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Pierre-Ange SAVELLI,M. Pierre-Ange SAVELLI,M.,Pierre-Ange,SAVELLI,M,,Directrice de cabinet,Tours,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Pauline BOCQUET,Mme Pauline BOCQUET,Mme,Pauline,BOCQUET,F,,Directrice de cabinet,Laval,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Marie ARGOUARC'H,Mme Marie ARGOUARC'H,Mme,Marie,ARGOUARC'H,F,,Directrice de cabinet,Nantes,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Margaux SCHNEIDER,Mme Margaux SCHNEIDER,Mme,Margaux,SCHNEIDER,F,,Directrice de cabinet,Le Mans,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Renaud LASSINCE,M. Renaud LASSINCE,M.,Renaud,LASSINCE,M,,Directeur de cabinet,Châteauroux,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Aurélien DUVERGEY,M. Aurélien DUVERGEY,M.,Aurélien,DUVERGEY,M,,Directeur de cabinet,Alençon,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Luca VERGALLO,M. Luca VERGALLO,M.,Luca,VERGALLO,M,,Directeur de cabinet,Beauvais,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Julien HENRARD,M. Julien HENRARD,M.,Julien,HENRARD,M,,Directeur de cabinet,Valence,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Joséphine GUIGLIANO-BOUTONNET,Mme Joséphine GUIGLIANO-BOUTONNET,Mme,Joséphine,GUIGLIANO-BOUTONNET,F,,Directrice de cabinet,Toulon,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Jennifer ROUSSELLE,Mme Jennifer ROUSSELLE,Mme,Jennifer,ROUSSELLE,F,,Directrice de cabinet,Besançon,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. David HICHAM,M. David HICHAM,M.,David,HICHAM,M,,Directeur de cabinet,Auch,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Amélie PELLOUX-GERVAIS,Mme Amélie PELLOUX-GERVAIS,Mme,Amélie,PELLOUX-GERVAIS,F,,Directrice de cabinet,Gap,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
Mme Aude PLUMEAU,Mme Aude PLUMEAU,Mme,Aude,PLUMEAU,F,,Directrice de cabinet,Versailles,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
M. Thomas FOURGEOT,M. Thomas FOURGEOT,M.,Thomas,FOURGEOT,M,,Directeur de cabinet,Cergy-Pontoise,préfecture,https://api-lannuaire.service-public.gouv.fr/api/explore/v2.1/catalog/datasets/api-lannuaire-administration/records
